Darrel,Williams,Kansas City Chiefs,RB,12
Cordarrelle,Patterson,Chicago Bears,WR,14
Lamical,Perine,New York Jets,RB,10
Ito,Smith,Atlanta Falcons,RB,13
Samaje,Perine,Cincinnati Bengals,HB,15
Christian,McCaffrey,Carolina Panthers,RB,15
Justin,Jackson,Los Angeles Chargers,RB,11
Matt,Breida,Miami Dolphins,RB,16
Alfred,Morris,New York Giants,RB,14
A.J.,Dillon,Green Bay Packers,RB,13
Ty,Johnson,New York Jets,RB,13
Devonta,Freeman,New York Giants,RB,15
Kerryon,Johnson,Detroit Lions,RB,10
Jeremy,McNichols,Tennessee Titans,RB,16
Rodney,Smith,Carolina Panthers,RB,15
